Date,Product,Category,Quantity,Unit Price,city,store
2024-05-24,Table,Furniture,34,300,Ahmedabad,StoreD
2024-03-30,Desk,Furniture,7,500,Ahmedabad,StoreD
2024-07-13,Laptop,Electronics,20,450,Ahmedabad,StoreB
2024-04-13,Chair,Furniture,39,150,Lucknow,StoreD
2024-07-17,Chair,Furniture,29,150,Chennai,StoreE
2025-01-05,Laptop,Electronics,53,450,Chennai,StoreC
2024-04-17,Table,Furniture,38,300,Hyderabad,StoreB
2025-03-05,Pencil,Stationery,2,5,Pune,StoreB
2024-07-04,Desk,Furniture,44,500,Lucknow,StoreB
2024-07-15,Pen,Stationery,56,15,Bangalore,StoreE
2024-02-08,Table,Furniture,23,300,Delhi,StoreD
2025-05-04,Pencil,Stationery,8,5,Kolkata,StoreC
2025-01-23,Table,Furniture,38,300,Lucknow,StoreC
2024-07-15,Desk,Furniture,14,500,Bangalore,StoreA
2025-01-30,Mouse,Electronics,58,400,Hyderabad,StoreC
2024-09-01,Mouse,Electronics,51,400,Ahmedabad,StoreC
2024-04-16,Pen,Stationery,30,15,Hyderabad,StoreA
2024-09-22,Monitor,Electronics,53,800,Bangalore,StoreB
2025-01-21,Monitor,Electronics,35,800,Lucknow,StoreB
2024-02-17,Pencil,Stationery,24,5,Lucknow,StoreB
2025-02-19,Laptop,Electronics,9,450,Kolkata,StoreE
2025-03-06,Laptop,Electronics,52,450,Lucknow,StoreE
2024-08-13,Table,Furniture,17,300,Lucknow,StoreA
2024-08-30,Monitor,Electronics,2,800,Kolkata,StoreB
2024-03-08,Pencil,Stationery,11,5,Jaipur,StoreB
2024-03-04,Notebook,Stationery,18,20,Pune,StoreD
2024-10-10,Table,Furniture,35,300,Chennai,StoreC
2024-06-03,Table,Furniture,42,300,Hyderabad,StoreE
2024-07-31,Pen,Stationery,54,15,Jaipur,StoreC
2024-05-21,Chair,Furniture,20,150,Lucknow,StoreE
2024-07-10,Chair,Furniture,2,150,Hyderabad,StoreB
2024-12-17,Monitor,Electronics,7,800,Hyderabad,StoreB
2024-09-14,Mouse,Electronics,7,400,Lucknow,StoreC
2024-10-03,Pencil,Stationery,19,5,Lucknow,StoreB
2024-11-13,Monitor,Electronics,39,800,Pune,StoreE
2024-07-01,Chair,Furniture,11,150,Pune,StoreC
2025-01-08,Pencil,Stationery,18,5,Jaipur,StoreB
2024-08-27,Notebook,Stationery,36,20,Lucknow,StoreC
2024-08-15,Notebook,Stationery,21,20,Jaipur,StoreE
2025-01-24,Pen,Stationery,12,15,Mumbai,StoreE
2024-09-08,Chair,Furniture,23,150,Delhi,StoreB
2024-01-08,Table,Furniture,24,300,Kolkata,StoreD
2024-02-16,Notebook,Stationery,57,20,Lucknow,StoreA
2024-03-18,Monitor,Electronics,34,800,Hyderabad,StoreC
2024-08-08,Chair,Furniture,57,150,Hyderabad,StoreC
2025-01-22,Notebook,Stationery,46,20,Ahmedabad,StoreA
2024-02-12,Chair,Furniture,36,150,Mumbai,StoreB
2024-06-20,Desk,Furniture,43,500,Pune,StoreD
2024-10-12,Printer,Electronics,28,1200,Lucknow,StoreE
2025-03-19,Desk,Furniture,46,500,Mumbai,StoreD
2024-04-10,Desk,Furniture,40,500,Ahmedabad,StoreB
2025-04-16,Laptop,Electronics,33,450,Mumbai,StoreE
2024-01-31,Pen,Stationery,17,15,Chennai,StoreE
2024-01-03,Mouse,Electronics,11,400,Lucknow,StoreC
2024-04-07,Mouse,Electronics,13,400,Pune,StoreC
2024-08-10,Chair,Furniture,21,150,Pune,StoreA
2025-05-11,Keyboard,Electronics,1,80,Mumbai,StoreD
2024-07-18,Notebook,Stationery,34,20,Pune,StoreE
2024-05-15,Keyboard,Electronics,6,80,Delhi,StoreC
2025-01-09,Pencil,Stationery,31,5,Mumbai,StoreB
2024-03-08,Laptop,Electronics,15,450,Delhi,StoreB
2024-02-08,Keyboard,Electronics,25,80,Ahmedabad,StoreB
2024-03-11,Pen,Stationery,46,15,Chennai,StoreE
2024-05-17,Laptop,Electronics,10,450,Chennai,StoreB
2024-04-21,Laptop,Electronics,31,450,Mumbai,StoreE
2024-04-24,Notebook,Stationery,55,20,Pune,StoreE
2024-01-10,Printer,Electronics,46,1200,Delhi,StoreC
2025-02-25,Notebook,Stationery,30,20,Hyderabad,StoreD
2025-04-01,Pen,Stationery,45,15,Delhi,StoreB
2025-04-17,Printer,Electronics,49,1200,Hyderabad,StoreE
2025-05-15,Table,Furniture,14,300,Delhi,StoreE
2024-02-12,Pencil,Stationery,58,5,Lucknow,StoreC
2024-06-13,Pen,Stationery,9,15,Lucknow,StoreD
2024-05-09,Pen,Stationery,43,15,Hyderabad,StoreB
2024-04-22,Desk,Furniture,27,500,Kolkata,StoreD
2024-02-10,Pencil,Stationery,48,5,Delhi,StoreB
2025-02-13,Notebook,Stationery,59,20,Pune,StoreB
2024-06-21,Pen,Stationery,48,15,Chennai,StoreC
2024-08-03,Laptop,Electronics,56,450,Chennai,StoreC
2025-01-21,Desk,Furniture,37,500,Kolkata,StoreB
2025-01-12,Table,Furniture,36,300,Lucknow,StoreA
2025-04-18,Notebook,Stationery,25,20,Kolkata,StoreC
2024-05-16,Mouse,Electronics,16,400,Delhi,StoreB
2024-05-01,Monitor,Electronics,55,800,Bangalore,StoreB
2024-03-14,Mouse,Electronics,58,400,Ahmedabad,StoreB
2024-04-15,Keyboard,Electronics,25,80,Mumbai,StoreD
2024-03-25,Keyboard,Electronics,59,80,Chennai,StoreD
2024-02-15,Chair,Furniture,50,150,Kolkata,StoreC
2024-06-08,Chair,Furniture,15,150,Lucknow,StoreC
2024-11-03,Keyboard,Electronics,40,80,Jaipur,StoreB
2025-04-02,Mouse,Electronics,48,400,Chennai,StoreC
2024-03-05,Printer,Electronics,19,1200,Pune,StoreC
2024-03-29,Table,Furniture,20,300,Mumbai,StoreE
2024-06-09,Keyboard,Electronics,3,80,Kolkata,StoreD
2024-10-24,Notebook,Stationery,34,20,Hyderabad,StoreB
2024-04-22,Notebook,Stationery,60,20,Jaipur,StoreB
2024-08-28,Printer,Electronics,41,1200,Kolkata,StoreC
2024-01-23,Mouse,Electronics,56,400,Delhi,StoreD
2024-03-27,Chair,Furniture,25,150,Pune,StoreA
2024-10-13,Mouse,Electronics,15,400,Pune,StoreC
2024-10-20,Chair,Furniture,13,150,Kolkata,StoreB
2024-03-30,Notebook,Stationery,3,20,Bangalore,StoreC
2024-06-04,Notebook,Stationery,11,20,Pune,StoreA
2025-04-22,Chair,Furniture,46,150,Pune,StoreC
2024-07-11,Mouse,Electronics,55,400,Jaipur,StoreB
2024-09-03,Monitor,Electronics,25,800,Chennai,StoreB
2025-01-21,Pen,Stationery,4,15,Mumbai,StoreD
2025-01-18,Notebook,Stationery,58,20,Chennai,StoreE
2024-07-29,Desk,Furniture,46,500,Chennai,StoreD
2024-11-25,Pen,Stationery,39,15,Jaipur,StoreA
2025-03-28,Keyboard,Electronics,43,80,Bangalore,StoreB
2024-07-19,Chair,Furniture,16,150,Delhi,StoreC
2024-02-14,Chair,Furniture,47,150,Lucknow,StoreC
2024-06-04,Laptop,Electronics,43,450,Chennai,StoreD
2024-08-20,Table,Furniture,40,300,Hyderabad,StoreC
2025-04-03,Pencil,Stationery,40,5,Pune,StoreC
2024-01-17,Keyboard,Electronics,36,80,Bangalore,StoreB
2025-03-24,Pencil,Stationery,37,5,Lucknow,StoreA
2024-12-17,Mouse,Electronics,26,400,Bangalore,StoreB
2024-09-17,Notebook,Stationery,1,20,Lucknow,StoreC
2024-07-16,Table,Furniture,34,300,Pune,StoreC
2024-05-21,Pen,Stationery,45,15,Mumbai,StoreA
2024-07-30,Pen,Stationery,43,15,Jaipur,StoreC
2025-05-08,Pen,Stationery,57,15,Ahmedabad,StoreD
2025-02-05,Printer,Electronics,44,1200,Pune,StoreA
2025-02-04,Mouse,Electronics,10,400,Hyderabad,StoreD
2024-12-07,Keyboard,Electronics,29,80,Bangalore,StoreD
2024-12-05,Pencil,Stationery,60,5,Kolkata,StoreD
2024-01-19,Desk,Furniture,29,500,Jaipur,StoreE
2024-11-29,Monitor,Electronics,52,800,Hyderabad,StoreD
2024-08-17,Notebook,Stationery,43,20,Lucknow,StoreB
2024-12-14,Keyboard,Electronics,51,80,Chennai,StoreC
2024-05-06,Keyboard,Electronics,3,80,Bangalore,StoreD
2025-01-28,Desk,Furniture,22,500,Mumbai,StoreC
2024-06-10,Table,Furniture,37,300,Delhi,StoreA
2025-02-09,Pencil,Stationery,4,5,Kolkata,StoreE
2025-02-24,Pencil,Stationery,23,5,Pune,StoreB
2024-12-21,Keyboard,Electronics,8,80,Jaipur,StoreA
2024-01-03,Desk,Furniture,48,500,Jaipur,StoreD
2024-02-29,Printer,Electronics,48,1200,Chennai,StoreB
2025-02-05,Pencil,Stationery,19,5,Chennai,StoreA
2025-02-24,Chair,Furniture,41,150,Bangalore,StoreB
2024-02-23,Mouse,Electronics,23,400,Delhi,StoreA
2024-07-22,Table,Furniture,51,300,Lucknow,StoreE
2024-08-03,Chair,Furniture,44,150,Lucknow,StoreD
2025-04-12,Pen,Stationery,60,15,Kolkata,StoreB
2025-05-09,Pencil,Stationery,16,5,Chennai,StoreC
2024-11-19,Chair,Furniture,37,150,Kolkata,StoreC
2025-01-25,Table,Furniture,44,300,Hyderabad,StoreA
2024-06-16,Pen,Stationery,38,15,Ahmedabad,StoreA
2024-06-10,Chair,Furniture,32,150,Pune,StoreA
2025-03-17,Monitor,Electronics,41,800,Hyderabad,StoreA
2024-11-24,Monitor,Electronics,16,800,Hyderabad,StoreD
2024-07-24,Keyboard,Electronics,15,80,Kolkata,StoreE
2024-02-01,Notebook,Stationery,13,20,Lucknow,StoreE
2024-06-26,Pencil,Stationery,42,5,Kolkata,StoreB
2024-10-27,Monitor,Electronics,27,800,Pune,StoreC
2024-07-28,Desk,Furniture,21,500,Jaipur,StoreE
2024-12-20,Laptop,Electronics,57,450,Lucknow,StoreC
2025-02-27,Laptop,Electronics,58,450,Pune,StoreE
2024-05-20,Pencil,Stationery,28,5,Mumbai,StoreD
2024-07-16,Desk,Furniture,31,500,Pune,StoreB
2025-01-18,Notebook,Stationery,41,20,Chennai,StoreC
2024-05-29,Pen,Stationery,19,15,Delhi,StoreC
2024-09-15,Laptop,Electronics,29,450,Delhi,StoreE
2024-07-27,Laptop,Electronics,48,450,Delhi,StoreC
2024-03-20,Pencil,Stationery,5,5,Ahmedabad,StoreB
2025-04-08,Desk,Furniture,26,500,Delhi,StoreD
2024-09-23,Desk,Furniture,49,500,Hyderabad,StoreE
2024-07-29,Chair,Furniture,47,150,Chennai,StoreA
2024-05-26,Desk,Furniture,43,500,Chennai,StoreB
2024-08-01,Monitor,Electronics,3,800,Delhi,StoreB
2024-02-29,Table,Furniture,11,300,Bangalore,StoreC
2024-05-03,Mouse,Electronics,42,400,Hyderabad,StoreE
2024-10-12,Mouse,Electronics,20,400,Kolkata,StoreC
2024-10-23,Monitor,Electronics,32,800,Pune,StoreB
2024-01-12,Laptop,Electronics,39,450,Pune,StoreA
2025-01-13,Pencil,Stationery,7,5,Jaipur,StoreA
2025-02-12,Pencil,Stationery,29,5,Chennai,StoreE
2024-04-01,Chair,Furniture,36,150,Pune,StoreE
2025-05-14,Printer,Electronics,41,1200,Delhi,StoreE
2024-08-10,Monitor,Electronics,57,800,Jaipur,StoreB
2024-04-24,Notebook,Stationery,26,20,Bangalore,StoreA
2024-06-06,Monitor,Electronics,8,800,Hyderabad,StoreB
2024-04-24,Chair,Furniture,38,150,Delhi,StoreB
2024-05-08,Laptop,Electronics,53,450,Delhi,StoreE
2024-06-24,Desk,Furniture,12,500,Hyderabad,StoreA
2025-02-09,Keyboard,Electronics,33,80,Hyderabad,StoreE
2024-02-12,Pencil,Stationery,11,5,Jaipur,StoreB
2024-09-09,Pen,Stationery,4,15,Chennai,StoreE
2024-02-15,Keyboard,Electronics,22,80,Chennai,StoreA
2024-01-18,Monitor,Electronics,2,800,Mumbai,StoreB
2024-05-09,Keyboard,Electronics,57,80,Bangalore,StoreA
2025-03-30,Chair,Furniture,21,150,Ahmedabad,StoreB
2024-06-29,Chair,Furniture,51,150,Bangalore,StoreB
2024-02-09,Chair,Furniture,10,150,Bangalore,StoreC
2024-07-13,Desk,Furniture,57,500,Bangalore,StoreE
2025-03-31,Notebook,Stationery,17,20,Bangalore,StoreB
2024-08-23,Laptop,Electronics,6,450,Ahmedabad,StoreB
2024-06-03,Pen,Stationery,26,15,Bangalore,StoreC
2024-08-25,Keyboard,Electronics,52,80,Hyderabad,StoreB
2024-08-18,Table,Furniture,53,300,Kolkata,StoreE
2024-07-08,Monitor,Electronics,19,800,Kolkata,StoreC
2024-03-28,Table,Furniture,39,300,Lucknow,StoreB
2025-03-17,Mouse,Electronics,40,400,Lucknow,StoreC
2024-08-19,Laptop,Electronics,54,450,Lucknow,StoreD
2024-07-16,Mouse,Electronics,59,400,Lucknow,StoreB
2024-05-16,Pencil,Stationery,43,5,Delhi,StoreE
2024-12-31,Laptop,Electronics,21,450,Ahmedabad,StoreC
2024-05-09,Chair,Furniture,29,150,Jaipur,StoreE
2024-11-27,Keyboard,Electronics,8,80,Jaipur,StoreD
2025-03-29,Keyboard,Electronics,23,80,Pune,StoreA
2024-09-06,Mouse,Electronics,39,400,Delhi,StoreE
2024-03-28,Laptop,Electronics,11,450,Chennai,StoreC
2024-01-10,Notebook,Stationery,34,20,Lucknow,StoreB
2025-01-18,Keyboard,Electronics,6,80,Lucknow,StoreC
2024-04-16,Monitor,Electronics,3,800,Chennai,StoreC
2024-01-06,Monitor,Electronics,31,800,Lucknow,StoreC
2025-02-03,Keyboard,Electronics,20,80,Mumbai,StoreE
2024-05-10,Keyboard,Electronics,57,80,Hyderabad,StoreA
2024-03-02,Pencil,Stationery,11,5,Ahmedabad,StoreA
2024-11-18,Mouse,Electronics,17,400,Mumbai,StoreC
2025-01-10,Chair,Furniture,58,150,Ahmedabad,StoreB
2025-03-04,Printer,Electronics,4,1200,Lucknow,StoreC
2024-04-04,Laptop,Electronics,60,450,Pune,StoreC
2025-03-01,Pencil,Stationery,34,5,Chennai,StoreE
2024-04-21,Pencil,Stationery,4,5,Kolkata,StoreC
2025-04-02,Mouse,Electronics,55,400,Pune,StoreE
2025-03-11,Monitor,Electronics,13,800,Chennai,StoreC
2024-09-21,Printer,Electronics,52,1200,Bangalore,StoreD
2024-01-09,Printer,Electronics,49,1200,Lucknow,StoreA
2024-12-05,Notebook,Stationery,5,20,Jaipur,StoreC
2024-02-09,Pencil,Stationery,34,5,Lucknow,StoreD
2024-03-12,Pen,Stationery,10,15,Delhi,StoreE
2025-05-03,Laptop,Electronics,52,450,Hyderabad,StoreE
2024-01-05,Pencil,Stationery,2,5,Hyderabad,StoreB
2024-12-13,Pencil,Stationery,43,5,Mumbai,StoreB
2024-05-29,Mouse,Electronics,28,400,Chennai,StoreA
2025-01-20,Pen,Stationery,57,15,Pune,StoreC
2024-11-26,Desk,Furniture,52,500,Lucknow,StoreB
2024-06-16,Chair,Furniture,49,150,Lucknow,StoreB
2025-02-09,Keyboard,Electronics,54,80,Bangalore,StoreA
2024-08-29,Pencil,Stationery,3,5,Delhi,StoreD
2025-04-25,Pen,Stationery,58,15,Kolkata,StoreB
2024-08-19,Pen,Stationery,6,15,Ahmedabad,StoreA
2025-02-28,Laptop,Electronics,51,450,Jaipur,StoreD
2025-04-19,Mouse,Electronics,20,400,Jaipur,StoreE
2025-02-23,Chair,Furniture,26,150,Chennai,StoreD
2024-02-25,Keyboard,Electronics,7,80,Hyderabad,StoreB
2025-03-31,Chair,Furniture,19,150,Chennai,StoreC
2025-01-10,Printer,Electronics,49,1200,Jaipur,StoreC
2024-01-10,Laptop,Electronics,40,450,Kolkata,StoreB
2025-02-19,Laptop,Electronics,45,450,Hyderabad,StoreC
2024-10-26,Notebook,Stationery,50,20,Jaipur,StoreB
2024-09-19,Laptop,Electronics,5,450,Delhi,StoreD
2024-09-19,Pencil,Stationery,41,5,Hyderabad,StoreC
2024-10-19,Pen,Stationery,9,15,Pune,StoreD
2024-10-12,Monitor,Electronics,3,800,Chennai,StoreA
2024-11-21,Pen,Stationery,33,15,Pune,StoreE
2025-03-10,Desk,Furniture,48,500,Pune,StoreB
2024-04-02,Monitor,Electronics,19,800,Chennai,StoreD
2025-02-07,Notebook,Stationery,51,20,Hyderabad,StoreD
2024-10-17,Desk,Furniture,60,500,Hyderabad,StoreB
2024-08-18,Monitor,Electronics,45,800,Ahmedabad,StoreC
2024-12-12,Chair,Furniture,7,150,Chennai,StoreD
2024-05-20,Keyboard,Electronics,24,80,Delhi,StoreE
2025-02-27,Laptop,Electronics,32,450,Delhi,StoreB
2025-03-03,Laptop,Electronics,57,450,Mumbai,StoreC
2024-12-07,Table,Furniture,55,300,Jaipur,StoreE
2025-01-04,Table,Furniture,21,300,Kolkata,StoreD
2024-01-08,Pencil,Stationery,9,5,Hyderabad,StoreE
2025-01-06,Mouse,Electronics,4,400,Mumbai,StoreC
2024-09-20,Table,Furniture,37,300,Hyderabad,StoreE
2024-04-20,Notebook,Stationery,4,20,Kolkata,StoreD
2024-06-29,Printer,Electronics,19,1200,Delhi,StoreD
2025-04-01,Notebook,Stationery,40,20,Kolkata,StoreC
2024-03-16,Keyboard,Electronics,41,80,Chennai,StoreB
2024-02-06,Mouse,Electronics,5,400,Bangalore,StoreA
2024-12-20,Monitor,Electronics,32,800,Kolkata,StoreB
2024-02-27,Monitor,Electronics,43,800,Jaipur,StoreA
2024-02-08,Mouse,Electronics,35,400,Delhi,StoreD
2024-10-02,Printer,Electronics,14,1200,Ahmedabad,StoreD
2025-02-09,Pencil,Stationery,6,5,Jaipur,StoreC
2025-03-06,Notebook,Stationery,48,20,Ahmedabad,StoreB
2024-09-02,Keyboard,Electronics,58,80,Pune,StoreB
2024-05-09,Notebook,Stationery,30,20,Mumbai,StoreD
2024-05-16,Keyboard,Electronics,13,80,Lucknow,StoreD
2024-02-17,Chair,Furniture,39,150,Kolkata,StoreC
2024-07-21,Mouse,Electronics,9,400,Jaipur,StoreB
2024-10-13,Monitor,Electronics,47,800,Bangalore,StoreE
2024-06-06,Chair,Furniture,27,150,Hyderabad,StoreE
2025-01-15,Monitor,Electronics,51,800,Bangalore,StoreB
2024-01-29,Laptop,Electronics,41,450,Kolkata,StoreB
2024-11-24,Chair,Furniture,17,150,Ahmedabad,StoreB
2025-02-08,Laptop,Electronics,56,450,Ahmedabad,StoreC
2025-02-01,Printer,Electronics,12,1200,Delhi,StoreA
2024-01-21,Mouse,Electronics,22,400,Pune,StoreB
2024-05-25,Keyboard,Electronics,32,80,Bangalore,StoreD
2024-05-21,Keyboard,Electronics,34,80,Jaipur,StoreD
2024-09-21,Printer,Electronics,29,1200,Chennai,StoreA
2025-03-21,Keyboard,Electronics,35,80,Pune,StoreA
2025-01-20,Keyboard,Electronics,25,80,Jaipur,StoreE
2024-12-08,Monitor,Electronics,59,800,Jaipur,StoreE
2025-02-27,Printer,Electronics,55,1200,Mumbai,StoreA
2024-11-05,Desk,Furniture,15,500,Mumbai,StoreC
2024-11-02,Notebook,Stationery,9,20,Mumbai,StoreA
2024-12-31,Chair,Furniture,41,150,Lucknow,StoreE
2024-12-04,Pencil,Stationery,59,5,Bangalore,StoreB
2024-05-02,Chair,Furniture,28,150,Hyderabad,StoreD
2024-12-16,Pencil,Stationery,47,5,Hyderabad,StoreC
2024-07-04,Table,Furniture,22,300,Hyderabad,StoreA
2024-07-21,Keyboard,Electronics,19,80,Ahmedabad,StoreB
2024-07-22,Mouse,Electronics,48,400,Hyderabad,StoreA
2024-09-24,Printer,Electronics,39,1200,Kolkata,StoreC
2025-04-10,Pen,Stationery,39,15,Delhi,StoreE
2024-09-13,Chair,Furniture,43,150,Mumbai,StoreB
2024-01-13,Desk,Furniture,28,500,Chennai,StoreC
2025-04-27,Keyboard,Electronics,12,80,Chennai,StoreD
2024-01-29,Notebook,Stationery,28,20,Ahmedabad,StoreB
2024-10-05,Notebook,Stationery,51,20,Kolkata,StoreD
2024-01-21,Chair,Furniture,17,150,Ahmedabad,StoreD
2024-03-07,Mouse,Electronics,17,400,Delhi,StoreC
2024-08-31,Printer,Electronics,24,1200,Ahmedabad,StoreC
2025-05-14,Printer,Electronics,17,1200,Bangalore,StoreA
2024-05-23,Keyboard,Electronics,18,80,Delhi,StoreA
2025-02-19,Monitor,Electronics,18,800,Mumbai,StoreD
2024-11-08,Pen,Stationery,48,15,Hyderabad,StoreD
2024-02-26,Printer,Electronics,48,1200,Mumbai,StoreD
2024-11-22,Printer,Electronics,12,1200,Jaipur,StoreA
2024-12-01,Pen,Stationery,52,15,Kolkata,StoreD
2025-04-20,Desk,Furniture,21,500,Hyderabad,StoreA
